commenttext,toxic
pepper spray the cunts They will run,true
Bunch of pussies who have nothing better to do than to cry about problems that are only escalated because they do stupid shit like this,true
the people in ferguson have to loot the oly thing the goverment cares about is the economy fuck it up n they will make an effort to stop crooked cops,true
Welcome to New World Order,true
Who the hell cares if there are people peacefully protesting? If the police feels threatened they are gonna act I say blow them fuckers in the face with some tg That is what follows a riot,true
I want to toss one of those gernades lol not at anyone of course but at a range that would be the fucking shit,true
Stuff like this is one of the reasons why people associate violence and danger with black people,true
I love this woman THIS is a voice that matters Fuck black lives matter,true
finally a black person with a unbiased opinion An incredibly high percentage of black lives are lost among themselves and only an extremely small fraction from police  Black people need to take responsibility for their violence,true
This is sad Disgrace to all black people,true
When I c the blk lives matter bullshitwitch I call bullshit 5 black people were killed in a five period in Newark nj where were they I call Bullshitb,true
Niggas love being the victim in any situation that's why I separate my from them and other black people need to do the same,true
So this bitch is talking about people like Dylan Roof James Holmes Jared Loughner Jerad Miller Tim McVeigh Jared Loughner Jim David Adkisson Paul Hill Scott Roeder Frazier Glen Miller Jr Elliot Rodger Buford O' Furrow John R Houser etc  then RIGHT?,true
She is right Blacks are in the shitter because of themselves not the white man,true
Obama should be saying exactly what this lady is saying Instead he's defending the thugs She should clean up her language however,true
As a black person all I have to say is THANK YOU FOR SPEAKING THE TRUTH Too many blacks out there causing trouble dressing like idiots and bring trouble to themselves killing eachother causing crimes then they complain the police are after them when they are up to no good I'm just glad my parents grew me up properly I stayed away from the garbage,true
Too much logic and intelligence She must be mixed race with some intelligent white DNA in her,true
One must be fucking stupid if one attacks a police officer and expects to get away with it without any response from the police,true
Correction: Black ppl have NEVER been the most violent ppl on this planet Now some of what she is saying is true but when it comes to this black on black crime shitdon't just single my race out when the same shit happens with other races all across the globe,true
So now a days if you're Conservative support the Confederate Flag denies racism and criticize black people you're deemed a hero by white people? Lmao Please get this white woman in black face off my screen,true
okay blacklivesmovent thugs stop with this carp u wanna stand up for a murder but yet a child died by gettin shoot in the cheast all becasue u all wanna act like the plant of the apes movie all because of this excuse me black are killing other blacks and u wanna come after cops and white ppl and call us namesrastist names all because u dont get it try lisening to the lawa obeying the the law and stop shooting inncent ppl for you own benfits all of u guys killing other ppl need to be in jail,true
AMEN Peggy Hubbard Color makes no difference it's the person on the inside The innocent nine year old little girl is the one attention should have been on Some people just want to cause chaos black and white All of what is going on is exactly what Obama wanted now look at our country and this mess that it's in I admire your courage and telling it like it is Peggy Hubbard,true
Before integration black people had their own schoolsbusiness and banks  After integration they lost every thing,true
Ask your fellow white liberal press networks and blogs to post this they won't they cringe at black conservatism,true
I love her Every thug deserves a slug,true
i agree with most what you said but i can't trust police if they won't arrest crooked pedophile protecting treasonous politicans same thing for military people,true
BlackLivesMatter was built on deceit and lies,true
I dont like generalizations as she used it in her rant BUT to her main point she is RIGHT Chris rock said it best there are Black people and there are niggaz A nigga morns a killer that got gunned down in the street a Black person mourns the loss of INNOCENT human life such as the little girl that got murdered Based on comments here the Black to nigga ratio is dropping,true
Yea We should beat up all white people rob black owned stores and cause massive riots wasting money I bet 90% of yall don't work stop wasting people money and just off yourselfI hope every single person their got shotthat didn't happen though sadly,true
#blacklivesdontmatter,true
Seeing the comments on here just proves how backward this country is ,true
dumb mf,true
the real criminals are on wall street those guys steal more money then any inmate in every Penitentiary every dreamed of stealing,true
So this is the Revolution? Setting your own neighbourhood on fire good job burn down some suburbs where these cops live how does making yourself homeless achive anything?,true
Brown Stepfather has his pants half way down ,true
all you white immigrants need to go back to Europe and tbh native Americans we're here before the European settlers came over on there boats,true
What a bunch of complete dumb asses,true
I agree time for a race war,true
We been at war for 400 years please a war was started where three quarter of a million Americans died for you Stop bitching,true
Michael Brown was a THUG God bless the Thin Blue Line I graduate from the police academy in December,true
and what do the people see here i can't even understand what they are saying is this black America is this good for the world to see how do the people respect a race like this when they see so much bad,true
THESE PEOPLE DID AS THEY SHOULDVE WISH THEY WOULDVE LITERALLY BURNED THE ENTIRE CITY DOWN,true
Must be nice looting protesting rioting and burning stuff down in the middle of the night when you don't have to get up to go to work the next day,true
Is it really that hard just to open fire,true
Dirty mongrels,true
95% of the policing problem being protested here is caused by black criminals Let's not forget to blame and address the elephant in the room,true
I hate basterds like this but I would have been funny if they tried pushing more and it flipped back on top of a few of them #Hacopcarcanstillfightback,true
I wish the car flipped over and crushed the rioters,true
It's only Ameland,true
I hate it how people have to read everything for me Because I can't read Because I'm black,true
Maybe I don't know the exact story and suchbut from what I understood this is supposed to be a case of a grown man shooting a kid  This ain't supposed to be racialyou guys are letting in on your hatewhether you are anti black or anti white or weand you seem to be forgetting what is going on here  A police officer shot an innocent kid  THAT'S IT  Want justice for THATnot for your fckin race  The moment you pick a racea side you have become a fckin joke  I dont give a rats ass about how many blacks have killed whites and vice versawhat I want to know is why the fck is that POLICE OFFICER walking it off free after emptying his motherfckin gun in a CHILD  ,true
Kid was a hopeless piece of shit  look at him bully the store owner His bad decisions got his dumb ass shot and killed,true
y'all racists as fuck god please bless america,true
don't let the Elite's divide and conquer tactics work on you they want to keep us racially divided so we can never rise up against them ,true
The shooting had not one thing to do with him being black Black people make it a black issue Bottom line was a grown man robbed a store and ignored police orders Why do people think its ok to protest on the behalf of a thug who has no respect for the law yes it is a shame that it came to his death but if he hadnt have been a thief he would still be alive I hear this bullshit about blacks gotta do what they gotta do hard streets from the streetsblah blah blah you wear your hard living like a badge of honor but with no honor for this country but hey lets go steal some cigarillos to make blunts worsen what is already a ghetto,true
Blacks get my prejudice easily,true
hmmmaybe theres more depth on the subject in the comment section nope just a bunch of degenerates,true
Not one pair of work boots was stolen in the ferguson riots,true
They don't want justice  Here you see a mob mentality in action  He's guilty no matter what the Grand Jury says no matter what the evidence says let's just hang him from the nearest tree  What about the officers rights?   They need to learn to speak proper English and get a job  Who's the bigger racest?  If a white crowd did that they would all be in jail,true
Mike Brown was a criminal thug Fuck him,true
5:53 did you see that brick hit that white pig on his helmet Lmao Nice shot Should of hit his face,true
Fuck mo and kansas city,true
Every time he interviewed a person I noticed they all ghetto and can clearly see their education is that of a preschooler Who ever protested and did all that incredible stupid stuff Dr Martin Luther King jr would have been disappointed in all of you and I respect him All the ignorant black people like always ruining things and then they say they didn't do anything and they are always the victims Wake up stupids you guys aren't the only ones You're just making America look stupid,true
*Yes lets destroy someone else's property and ruin their day because we are mad at someone else Take that Police*     cunts,true
Fergueson residents are stupidthey complain about crime and when the police shoots a criminal they get all emo and tell the police to leave while riotinglooting and destroying their own community Where is the logic in this? I think they're just trolling srs,true
So every time or don't agree with the police I'm going to go and burn down everything that has no relation to what I don't agree with and call it protesting These people are so fucking stupid it's as if we're de-evolving,true
These people are stupid as fuckthey would't be doing this if they had work at 7am These is their idea of fun because they're losers and have nothing better to do Oh yeah and great work burning down that auto place no a few more people are unemployed and cannot provide for their family Great workall this because the police shot some criminal who happened to be black These people are the definition of sheepthere in not one individual thinker among them ,true
I like how the begining it was peaceful and now even the fucking reporter is wearing armor XD,true
United Shits Of America is collapsing this is good,true
Somebody pick up a gun and kill a cop already LA style,true
im so sick of seeing racist comment That a shame we still have rascim in 2015grow the fuck up people,true
THE ONLY JUSTICE WE WILL GET IS IN THE STREET AN EYE FOR AN EYE YOU KILL US WE KILL YOU,true
i like how blacks can be all racist against white ppl without consequences  keep it up nice new world we live in keep it up,true
don't get why the cops are armed for civil war  machine guns against unarmed civilians throwing bricks fuck the united states the people of america must free themselves from oppression  ,true
I see all these signs black lives matter no parent should have to bury their child justice I bet you they'd know the last three black person shot by a white cop but if you ask them to name one person in the last hundred who was killed by another black person not a damn clue where are the marches and protests over that? you are far more likely to murdered by another black person who isn't a cop that is a fact fuck you sharpton you are no cornell west,true
cops = pigs,true
Only 1 out of 11 000 cases presented to a grand jury doesn't return an indictment Apparently the militarized police state gunning down an unarmed teen is that 1 time Unevolved racists used to hide behind white hoods now they hide behind computer screens & police badges ,true
It's all because he's black,true
They can't help it but these motherfuckers are primitive compared to white people  They get frustrated when they live around white people because they can't compete  Blacks in Africa are much more self-assured because they don't get reminded every day that they can't compete  Multiculturalism is not good for anybody  All these people throwing fits are living off tax dollars STOLEN from white people,true
Shoot all looters on sight,true
another bulllsship vice documentary that doesnt focus on any facts just idiots with no jobs who are venting their own racist paranoia,true
10:11 what fucking evidence of by evidence you mean the fact that he was a suspect in an armed robbery and the autopsy reports that's evidence that shows the cop is innocent God damn,true
Us police logic Shit its a brick Shoot them all Quick call the army nuke them all,true
man it's stuff like this that really make me reconsider how the world would be if Hitler were alive? ,true
Lol stupid mooslims,true
back to Africa still a thing?  cause they seem like they really don't like it hereand its not working outmaybe they can turn their continent around,true
All I see here are a bunch of ignorant fucks that are trying their hardest to turn this into a racial thing which it never was a racial thing from the start it was self defense plane and simple You attack a cop your ass is going to get shot,true
 I dont understand why the black community wants to rally behind a wanna be thug When the video of the guy robbing the store came out I would have thought most of the protesters would have gone home Michael Brown was a turd This crowd is full of racist who hate the white community,true
Thanks Obama,true
0:05 to 0:18 I had no idea cops mooed I always thought they just oinked Learn something new every day,true
9:41 Dems a big ass gun 😂😭,true
Whites should move-out of Ferguson let's see how nice it becomes after that East St Louis Detroit Baltimore same thing happened and now look at those cities,true
Stats don`t represent the problem Race baiting and attitude is Who`s doing the crimes ? Ohh I bet Trayvon is still the little innocent boy too Don`t speak with a lisp a sure sign of a left wing democrat  ,true
If only people would just take a step back and not make this case about them because it wasn't about anyone except the two people in that situation  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation  The guy in this video is heavily emotional and hyped up and wants to be heard and when he gets heard he just presses more and more  He was never out to have a reasonable discussion  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate  By the way since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on because there's no measurable amount of people that honestly witnessed this incident so none of us have a clue on which way this whole issue should have swung  The grand jury were the most informed we have to trust the majority rule was the right course of action and let it be  Also thank you to the 99999% of police officers in America that actually serve & protect even if you're a bit of a jerk when you pull me over I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions  People hate police until they need an officer or two around in an emergency,false
There are a very large number of people who do not like police officers They are called Criminals and its the reason we have police officers The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public When our children or our family are in danger we do not hessitate to call for help and we call the Police Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line to serve the public,false
The Arab dude is absolutely right he should have not been shot 6 extra time Shoot him once if hes attacking you and that would stop his attack Shoot him twice if he's still attacking you but six times? That is shoot to kill in my opinion ,false
I agree with the protestor,false
moral of the story don't reach for a cops gun because you're probably gunna get shot white or black,false
Thus with a collapse of the USA only two possibilities can be considered whereby with the one it boils down to a dictatorship with evil reprisals while the other possibility may be a new reconstruction if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start But whether this will actually occur is currently extremely questionable because presently in a totalitarian manner everything is directed towards interests which are economic military political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious misanthropic criminal and felonious machinations in every imaginable regard This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods and so forth and in every possible manner being restricted in its freedom and this is in addition to the violence as it emerges in some form or other both openly and covertly﻿,false
LEGALIZE MARIJUANA Then problems will stop,false
1 word: Provocateur,false
This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs Utah I am just as much outraged by the Mike brown case The murder that happened in Utah was just about the same deal Cops are provided with non lethal weapons The shooting in Utah unwarranted because he ran don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then He ran and was shot 6 times in the back We know a large group of cops are corrupt and these murderers are nothing new Though I have ran from the police many times when I was in my teens cops just pursue and find him hiding some where Not just put 6 bullets in the back ending a life They said in some paper Saratoga Springs has about 5% of black population I have been through there and I would say they were off by about 5% ,false
There is blood on the street but you are worried about words  we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending irrelevant distracting disparaging narrative Step up CNN,false
I LIKE TURTLES,false
How do these childish cops sleep at night ?,false
Alright This entire case is crap All of these people who are saying that white people are being racist and calling them bad names is just as racist as you would like to call it as us There have been extensive investigations that prove that this boy's death was out of self defense However I am not defending the whole KKK thing But I am defending the helpless citizens of Ferguson This boy died I don't care if he was white or black What I do care about is how the people in Ferguson are treating their town If they really cared about this incident they would hold memorials to express their feelingsThis is not helping themselves get justice What really matters is that this boy is dead Something HAS been done about it The Grand Jury has decided Can it just be over?,false
This guy doesn't know what happened he didn't have his hands up,false
He had to take a break because Bassem was making too much sense for him to debate further,false
 This is a CIA agent provocateur operative to kick-start the riots of the New American Civil War He's not African American but his rehearsed Ebonics is transparent,false
CNN is propaganda for the most part and people let them hear it in Ferguson too,false
Bassem has the right to express himselfwe have freedom of expressionWe all have that rightIts an amendment of the ConstitutionI dont think CNN is that competent after all,false
Mr Masri is 100% right couldn't say it any better myself,false
Can anyone tell me why it is racist if a white man shoots a black man? Is it not racist when black man shoots a white man? Why do these cases turn instantly into racist ones it makes no sense,false
Black and white crimes seems to be big topic in us after Ferguson case I just came here to brag about Finnish cops that used firearm 6 times last year 2 time towards human 2 times to warn 2 times to kill wounded animal 5 million ppl here and 0 5 gun per capita,false
and the heading reads When the protesters take it too far,false
Teen faces life in prison for pot brownies 90 year old man gets arrested for feeding the poor Police officer is set free with no charges whatsoever for killing a teenager Don't you people see how wrong this is?,false
you know what I'm sayin wow,false
5:09 plain n simple truth,false
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying Smh,false
I do understand their anger but war is not the answer,false
Iz didn't do nuffinz,false
Do any of these protestors work for a living??  where do they get the (time) to do all this,false
If people would obey the law like normal human beings This would never happen <- WINNER,false
No indictmentmoving right along,false
 Michael Smerconish + Hack ,false
I'll be sure to avoid getting in this guy's taxi cab,false
CNN youse guys going too far I'll tell you what you doing so that bad is going to happen very bad it's all going to benefit you I don't care how much money you have Ellen and better for you to be like all the rest was be careful what you put out there you put Russia in between this be careful we have kids,false
this guy here he needs to grow up,false
It's not about just Brown it's about daily killings of non-whites by white cops and that's a reality,false
This guy is my hero,false
Did he say that the sound of him spitting is an Arab expression?,false
Wow,false
I think that this indecent is unessacerry for the event of one person being shot Mr Brown stole something so it wasn't intirely the police officers fault,false
anyone know if they are irradiating commercial strawberry seeds mine wont germinate ?,false
Well done 👍,false
Old mans way has been tried forever and how well did that workedlook where we are now,false
CHRISTIANS ROCK,false
The only good CNN anchor I have ever seen,false
WTF Isn't this the guy who got mugged for his iphone 6 in ferguson?? That video was hilarious,false
How many shots to disable one man ? If the officer felt so threatened was there a call for backup ? How many shots before one man cannot continue to threaten another ? With the transcript of witness evidence released there seems to more questions unanswered than answered I pray for all involved that they might find some peace from a terrible encounter Amen ,false
NO THANKSGIVEN OR CHRISTMAS  for all the Owners of the Business that were Looted stole from Burned out for no good reason and NONE FOR YEARS TO COME  These People did NOTHING except serve the same ones that Burned them out   May God have mercy on you  I WOULD NOT,false
The grand jury amd processor have too much power in the justice system amd connections with other police departments that's what I'm sayin honestly,false
If that cop shot a white guy there would not be any riots But since he shot a black guy everyone seems to think it was because he was black Look at the evidence not skin color Everyone always throws out the race card over crap like this,false
EXCELLENT They'd (media-slaves) have us wait to speak out so this gets lost into the next tragedy there's a travesty happening here that's been going on since thee origins of USA Nøbody is free Thee illusion is real & so is thee struggle & we're experiencing the collision of this experiment Psychological warfare through attrition In typing that always be aware of baiting don't allow 'them' to create 'helter skelter',false
Keep letting real people get in front of the camera The truth will be told in its purest form,false
criminal kids get shot by the police almost everyday Plus Mike Brown has a bad criminal record and started the fight,false
people get shot everyday how come this is the only one thats getting attention,false
Isn't this the dude who got knocked out and had his phone stolen in Ferguson?,false
Bassem Masri well said bro,false
wait if they are in an area that has a majority of African Americans doesn't it make since that the majority of people pulled over and searched or arrested in that same area would be African American as well? ,false
This video is liberal propaganda used to further divide people and fuel the chaos in Ferguson Stay tuned for a trial with facts before deciding that evil white people are the source of all problems And I mean straight up watch the trial no fox news CNN or MSNBC,false
Protest was converted into riot because majority of people wanted it Don't be fooled by politiciansthey play serious games with common man Take care everyone and save humanity Peace,false
Worst TestTube video ever: some of the inequality is by choice: (white flight) and or via change in demographics etc But the remaining residents DO have a say: THEY VOTE and can put up their own nominees and go to city council meetings and put their grievances before the councilmen etc Besides if this is the supposedly post-racial era in America what does the race of leaders matter? Oh BTW the title asked what really caused the riots: seems from most accounts the answer is out-of-town LAWBREAKERS,false
You can say black This piece came off a bit stiff due to the repeated use of African American,false
I live in St Louis and it's scary,false
Ferguson just like any American city is not a prison If those or any other residents feel that are mistreated discriminated against or subjected to illegall search and seizure then my advice is move Our country is vast and I am confident they can find somewhere in our great nation where they can find a place to be happy and successful,false
I do believe that the correct word is caucasian not white Let's be correct in every regard Great report though I love the videos,false
While I agree with most of your report and I certainly think that the events that went down in Ferguson need to be investigated Your statistics to support a targeting of a particular race by number of stops and searches can certainly be explained away by the fact that most of the population in that region is of a particular race given a greater opportunity that someone who is stopped is most likely going to be of that race I think further analysis would need to be conducted to make that collation I am not saying race is not a factor I am saying statistics can be misleading and need to be considered thoughtfully before stating them as support for a statement,false
Its funny doctors push drugs its legal even tho prescription drugs are abused the most whereas minorities get locked up for years because of marijuana known to be beneficial to the economy The war on drugs started with the government who still supplies the streets to this day Racial profiling is stupid Caucasians commit the most mass shootings I don't see them being searched before they go in malls movie theaters schools etc,false
So you're implying that because most of Ferguson is black but most of their elected or appointed officials are white that it means that the majority of people in Ferguson isn't represented at all? That they mostly black population wouldn't happen to have voted for or support the white officials? And just because its median income is lower than that of MO or the US as a whole is that because its population is mostly black or is it just a statistic?,false
I might be wrong but when a majority of the black community don't vote wouldn't it make sense for there to be an inequality in the city government,false
Is there something wrong with her voice?,false
Bill Cosby caused them,false
The US Justice Department has audited the Ferguson Police Department and found 180 counts of excessive use of police force against African-Americans from 2009-2014  In addition they found 7 emails containing discriminatory language on Department computers  The Federal government is pursuing a criminal case against the Ferguson Police Department  I wonder if Bob McCulloch will try to defend this one,false
Is there something wrong with the audio?,false
that's just flat out racist to say one race can't represent another equally if majority blacks voted for the white people does that mean the blacks that voted didn't vote for their own best interest? and that the elected white official can't represent the black voters that put him/her in office?,false
How come they call the 'blacks' African Americans but not European American to the 'whites' ?,false
Here there is no racism here you are all equally worthless - Full Metal Jacket,false
TestTube Can you please explain to me how blacks get stopped and searched more than whites? If whites get make up 29% of the population and get searched 69% of the time while blacks make up 67% of the population and get searched 121% of the time it's pretty obvious that whites are likely to get searched MORE Do you want me to explain it further why that is or can you find someone in your team that actually remembers basic grade school math? I could go on and on about what is wrong about this video but it seems to have been already explained by others Seriously I do enjoy watching your channel but the bias is strong with this one and almost made me want to unsubscribe ,false
If the majority of the people in Ferguson are African American than why are their elected officials not African American? The mayor city council and police chief are all elected officials Are the people in the community not stepping up to fill those roles?,false
My least favorite test tube video so far,false
Please slow down I cant tell if they sped up Ms Scully or if she was talking really quickly Great video with great information it was just a little fast ,false
While i dont agree with police action to kill the boy but that does not mean you can protest by looting and destroying your own neighbourhood That is stupid because it makes people don't want to support your struggle,false
i just came here to read the racist comments lol,false
sure some of the people protesting are actually protesting for what they believe in but then you have those people that are taking advantage of a sad situation just to cause so much chaos and damage to a hurting community,false
We need to come togather,false
Dont call peacefully protest When you burn down a car lol,false
Why were protesters throwing stuff at the reporters,false
Guy @ 0:34 just got a hard on,false
Send them to france,false
Fun Fact: they did not have live ammo in those guns they had rubber slugs,false
GOD bless the Police,false
Was this in Virginia?,false
wow need to get your shit straight they never had there weapons pointed at any one in this vid they were at the ready position due to a riot and very under understandable course of action for any one who knows anything,false
What police? That was the army,false
I'm at this point where I think if a cop points a gun at me I should just you know do as I'm told that something I did provoked that,false
techno party,false
not once did obama show hos face in these cities yet they supported himsad,false
Wait so who was rioting again? The people standing boredly on the sidewalk or the guys with guns in the middle of traffic?,false
Confederation ill be back?,false
Perfect police,false
I think that all you guys are doing is profiting of all these standoff’s and not caring about one side or the other,false
And here you see it They impose gunlaws In fact Even if you had a machine gun people could not do anything against the police They have cars and body protection like tanks Just wanted to say,false
What does this video have to do with what actually happen? You are simply trying to smear this young man’s image So what he wanted to be a rapper So what he stole some cigars? Nothing you have side in this video deserves a death sentence Also now that they have released new video of Officer Wilson showing that he had no injuries It shows that Officer Wilson is not being truthful about the incident Perhaps you need to wait until all the details are out before you post a bias video If you’re going to post a video make sure that it is accurate Not to mention that you had more than just his friend the criminal who stated that Brown was giving up You had both black and white witnesses who had nothing to do with the incident who stated that he had his hands up and was surrendering when Wilson shot him,false
StefanI like how you standup for Darren Wilson though Your side of events lose their integrity when you give him a clean chit considering how incompetent the Ferguson police are turning out to be,false
It's sad that I have to watch a YouTube video to get a non biased report about what's going on in Ferguson Thank You,false
What injuries did the cop get treated for?,false
Stefan - a fan of Rep M Rivers,false
Shocking truths come to light ,false
You guys have to love this guy he spends 10 minutes telus how to roll a blunt,false
where's a taser gun when you need it???,false
Yeah of course he goes to college and then when the money comes in from Pel the majority of Negros drop out half way through the semester,false
You white folks always asked why would a cop do something that could ruin his career My answer to this is because they know they can get away with it They know their chief and their fellow cops will cover for them They know white folks and assholes like you will make excuses for them and if by a slim to none chance their is a trial you and your kind will always acquit,false
mIcheal brown asked for it and got it If you think he was shot because he was black then YOUR the racist,false
so he deserved to be killed because he smoke weedlike fightingthrow the gang signs and allegedly stole cigars?,false
Great points  Thank you for trying to calmly dissect this  Praying the truth comes out and that we all can handle the truth ,false
Is the cell phone video being shown anymore? All I get is a sorry message saying it is private,false
you published this on Aug 17the truth'' is still to be uncovered we know what is likely You cant assume to know the entire story before its been investigated The Feds are going to investigate the PD now going back years not just in this case I think were going to know more as time goes on assuming you know all the answers before its been looked at under a microscope is misleading to people,false
I guess You've never done anything wrong in your life So according to your analysis police has right to shoot him six time to make sure he dead He is already dead You are very proud of this officer This tells me everything about you I hope you have children,false
Looks like the media comes out with these bogus clams to cause division side things up The question to me isn't some much why don't people see the truth but what is the government up to and planing on ? & why is the media fueling it for them ?,false
Stephan Ive been watching you for quite a while and this is my first post can you do The truth about Henry Kissinger I would be very interested in hearing your opinion on this man ty,false
How the did he get shot 3 times in the inside of his right arm and once in the palm of his hand if he didn't have his hands in a surrender position? That's not consistent with him charging an officer It consistent with eye witness accounts who said he was surrendering,false
this is going 'viral' - already viewed by 100 000 police in US,false
So this guy gets high A lot,false
His character does not matter he was un-armed and killed while his hands was up Damn you could have arrested him not kill him What the Fuck you let OJ get away with murder and kill this boy for stealing cigars,false
internet trolling is at an all time high,false
Another great video and thanks for not putting one out right away but thinking it thru as usual It is sad that the Young Turks and other channels just went all cliche on everything without thinking which made them look like a bunch of hypocrites,false
Blunt = addiction to tobacco  That is why the blunt keeps calling you  This is another play of the race card,false
on drugs*,false
Very interesting and informative ,false
Its all a hoax ,false
I'm a black young woman and I like how Stefan thinks We need more people like this in our country,false
The major difference between the Zimmerman case and this one is that the shooter Zimmerman's name was not withheld and he was taken into custody  News media were able to document Zimmerman's injuries immediately  This case was handled horribly by a lack of immediate transparency   Because even if everything is true from the PO it will be questioned as a cover-up  Also the community has a history of Police abuse and missing videos after alleged abuse has occurred  The response to media and peaceful protesters also showed a complete lack of understanding about escalation  Unlike authorities dealing with potential Zimmerman looting and riots PD in this case attacked protesters rather than station themselves near looting targets to protect businesses  Criminals will always take the opportunity of distractions like storms or blackout or protests to loot  Authorities know this  And they know it is great propaganda against protesters who are seen as the cause of the looting rather than the PD who failed to protect businesses  It also illustrates why the 2nd Amendment is so valuable  Business owners that depended on PD for protection got looted while business owners that depended on themselves and their right to bear arms were not looted ,false
Michael Brown was not positively identified as the assailant in the store in the supposed robbery Darren Wilson was not aware of any robbery at the time of the encounter clearly your a racist I will be unsubscribing,false
you need to search Youtube for Actual CNN Doctored Audio of #MichaelBrown Shooting  CNN is caught changing evidence﻿,false
Very informative really appreciate this video,false
You forgot to add to your timeline that the suspect also assaulted the owner of the store and threatens him,false
Great video Level-headed cogent and fair Unfortunately cognitive dissonance and confirmation bias have taken a hold of the whole discussion but this is a breath of fresh air Thank you Stefan,false
The one part that is hard to believe is that the guy ran at the officer after being shot The only drug I know of that would illicit that type of behavior is PCP ,false
Crazy how everyone likes the video before actually watching it This video has been out 38 mins and the video is 39 mins long LOL,false
why was police car so far away from body officer realy good shot after being assaultedthis is BS wake up if you believe this you are deluded  he starts of vid by pointing out how media portrayed ''gentle giant'' then goes on to use similar tactic to discredit MB refs to pot and making rap music if the guy making this vid was my dadi would leave town for ever,false
The focus should be on what happened when the officer confronted Brown that lead to his death Nothing else matters so focus on that,false
lmao when he reads dudes raps is the best part,false
Stef I agree the facts on this case are grey however you have to realize that cops are getting caught in acts of unjustified violence on a daily bases now its getting caught on video and its writing a narrative of brutality and thuggery the public will not tolerate any longer  POLICE BRUTALITY - Recording The Police is Dangerous but Necessary,false
Pants up don't loot,false
I just want to know if he was shot in the back or the front That will pretty much tell the story If he was shot in the back none of the rest matters,false
hahahahaha molyneux reciting rap lyrics too intense,false
deadly force very fine line im not on either side but its brutal out there and theres no winning,false
I was for Michael Brown but after much research I see (My opinion) that if a man is dangerous enough that he can rob a store without a weapon he is dangerous and is a criminal anything but a gentle giant and proof shows Brown attacked Wilson who was a peace officer From the beginning this was not a race issue our government through media has created a race issue out of it This is more of an attack on our Constitutional rights than it is anything,false
I take it your against medical cannabis? and just because the guy liked a couple face book fighting pages doesn't mean he is necessarily aggressive,false
oh brown was armedtwo very big muscular arms,false
At no time was it reported that Mr Brown approached the officer It was the officer that engaged the young men Mr Brown ran away from the officer who was reported to have fired on him while he was in flight It is inconsistent that he would have turned and confront the cop who had already  hit him with one bullet You might not like black folks but you should not listen to spin in this video You have given no weight to the eye witness reports This video is to discredit the dead young man,false
Nicely done,false
Mr Stefan Molyneux all Mr Wilson had to do was just drive off  There are multifple stories so therefore both deserve a fair trial  Wilson as a law enforcer should be firm about what happened and what he did  It would be good if Wilson speaks  I'd truly respect him as an officer if he'd talk to the public  It seems as if he's hiding,false
My big problem with this case isn't so much the shooting of Michael Brown but the militarized police response against primarily peaceful protesters and the police suppression of media coverage ,false
All this info being put out about Mike Brown-why is nobody bringing up the fact Off Darrin Wilson tested positive for (illegal mood altering non prescription) steroids in his post shooting toxicology test?? One also has to wonder if this info was given to the Grand Jury? Doubtful,false
Great vid,false
The only real question that needs to be asked is this Why would Mike Brown rush a cop who has already drawn his weapon and has already shot at him? The way you answer will show your true colors To think that a Black male would disregard his own life to kill a cop and escalate his punishment from probation (for petty theft) to the Death Penalty (for killing a cop) is utterly absurd If you truly believe that someone who was going to start college the next week would do that then I am sorry but you are a racist,false
Very moving very thought out,false
@12:25 LMFAO,false
You're the man Stefan,false
100% agree people are up in arms but they need to find out more information before rioting Thinking that getting high or doing drugs then robbing a store carelessly and then walking in the MIDDLE of the street and screaming at a cop + attacking and reaching for the gun is unarmed (not to mention his size either) then people are VERY gullible I find it funny how all races are racist to each other and blacks are racist to whites but every single time someone is racist to a black person then everyone throws their hands up and gets pissed off at white people I am not a racist person but I don't want to sit here while everyone believes that white people are the only racist people just because what happened in the past makes me sick to think I have to grow up in this generation ,false
is this true police originally said robbery had nothing to do with stop?? So why are you claiming he noticed the cigars?,false
Thank you for yet another sobering analysis Stefan the amount of bias and deception from the left and the mainstream media has been insane ,false
